,sensor_id,group,test,predict,lower,upper,std_test,std_predict,std_lower,std_upper
2019-08-31 00:00:00,1,1,423,1221,0,1237,-0.7011247581954102,-0.10479640344430674,-1.010422271022568,-0.0927554766570664
2019-08-31 01:00:00,1,1,270,521,0,946,-0.8154303607619686,-0.6278249043643165,-1.010422271022568,-0.3099692777477988
2019-08-31 02:00:00,1,1,141,230,0,860,-0.9118056727298511,-0.845066027557617,-1.010422271022568,-0.37415180909753
2019-08-31 03:00:00,1,1,90,144,0,717,-0.9499075402520373,-0.9092759011106315,-1.010422271022568,-0.48087284621177795
2019-08-31 04:00:00,1,1,53,1,0,685,-0.9775500715916625,-1.010422271022568,-1.010422271022568,-0.5052538057669355
2019-08-31 05:00:00,1,1,34,0,0,712,-0.9917448849822809,-1.010422271022568,-1.010422271022568,-0.48484626896315597
2019-08-31 06:00:00,1,1,60,0,0,872,-0.9723204035003821,-1.010422271022568,-1.010422271022568,-0.36540535294593635
2019-08-31 07:00:00,1,1,191,155,0,1155,-0.8744509006492764,-0.9006388296109789,-1.010422271022568,-0.154221346446767
2019-08-31 08:00:00,1,1,407,438,293,1726,-0.7130782852611941,-0.6894821426332102,-0.7976380209000837,0.27285976192826755
2019-08-31 09:00:00,1,1,988,1010,1012,2445,-0.2790158336849169,-0.2624284034016689,-0.2606008132638821,0.8099517811254515
2019-08-31 10:00:00,1,1,1760,1729,1767,3200,0.29774184723915537,0.2746362097183312,0.3033675633270998,1.3739748620857513
2019-08-31 11:00:00,1,1,2682,2483,2485,3919,0.9865638444049515,0.8386319391291178,0.840091912772439,1.9107537133000143
2019-08-31 12:00:00,1,1,3143,3202,2855,4288,1.3309748429878496,1.3753835403655268,1.1161185805167972,2.186834934774624
2019-08-31 13:00:00,1,1,3604,3571,2860,4293,1.6753858415707477,1.651437484685267,1.1198827880705022,2.1906538526691155
2019-08-31 14:00:00,1,1,3739,3577,2898,4332,1.776243726188299,1.6552290464524326,1.1484751773358977,2.219301170616599
2019-08-31 15:00:00,1,1,3736,3615,2929,4362,1.7740024398634646,1.683848899132977,1.1712758894936588,2.242156648283175
2019-08-31 16:00:00,1,1,3693,3645,3377,4810,1.7418773358741704,1.7066769950003977,1.5059878260321504,2.5769229850199817
2019-08-31 17:00:00,1,1,4112,4093,3099,4532,2.0549103259093857,2.0414161333510683,1.2983943184878048,2.3693838737824295
2019-08-31 18:00:00,1,1,3156,3816,2850,4284,1.340687083728799,1.8338498239661518,1.1126486409186485,2.1836928213079676
2019-08-31 19:00:00,1,1,2073,3567,2422,3855,0.5315827204635525,1.6481314574105927,0.7924522340476238,1.863551570648847
2019-08-31 20:00:00,1,1,1121,3138,2148,3581,-0.1796521399505884,1.3279626263444655,0.5877333282677997,1.6588875920809505
2019-08-31 21:00:00,1,1,958,2864,2002,3436,-0.3014286969332617,1.123271185435656,0.47912683856440164,1.5503354423173448
2019-08-31 22:00:00,1,1,671,2719,1500,2934,-0.5158450886757601,1.0146918686107735,0.10366059981508136,1.1749233325167512
2019-08-31 23:00:00,1,1,637,2217,703,2137,-0.5412463336905508,0.6392526952404547,-0.491738846526139,0.5795783428643508
2019-09-01 00:00:00,1,1,357,1420,189,1623,-0.7504330573417687,0.043880474723599315,-0.8754945206078275,0.19587826834322586
2019-09-01 01:00:00,1,1,155,906,0,1168,-0.9013463365472902,-0.3398474048625564,-1.010422271022568,-0.14440950404970498
2019-09-01 02:00:00,1,1,113,451,0,937,-0.9327243450949729,-0.6801628559740004,-1.010422271022568,-0.3171151395251359
2019-09-01 03:00:00,1,1,61,219,0,781,-0.9715733080587705,-0.8528957491882645,-1.010422271022568,-0.4335338701371084
2019-09-01 04:00:00,1,1,37,63,0,708,-0.9895035986574463,-0.9693413627906906,-1.010422271022568,-0.48811519713905516
2019-09-01 05:00:00,1,1,61,0,0,711,-0.9715733080587705,-1.010422271022568,-1.010422271022568,-0.4856319700938312
2019-09-01 06:00:00,1,1,43,0,0,783,-0.9850210260077774,-1.010422271022568,-1.010422271022568,-0.43206709422283684
2019-09-01 07:00:00,1,1,88,65,0,1017,-0.9514017311352603,-0.9679579595320169,-1.010422271022568,-0.25719995026047526
2019-09-01 08:00:00,1,1,212,299,62,1497,-0.8587618963754351,-0.793118327374393,-0.9702898396961934,0.10152085706819203
