date_time,sensor_id,group,test,predict,lower,upper,std_test,std_predict,std_lower,std_upper
2019-08-28 06:00:00,22,1,776,748,902,2269,-0.785920874930997,-0.8065632377227211,-0.6899060936517214,0.3500692851752368
2019-08-28 07:00:00,22,1,1484,1589,2461,3828,-0.2475143631923784,-0.167014009833582,0.4956073294898827,1.5356290160425203
2019-08-28 08:00:00,22,1,2931,3148,1400,2768,0.8528729567027926,1.0184810451936457,-0.3108344446395902,0.7292291010402482
2019-08-28 09:00:00,22,1,2252,2088,1201,2569,0.3365198190325638,0.2120831772888932,-0.4621573851543589,0.5779504311306564
2019-08-28 10:00:00,22,1,1755,1889,1486,2854,-0.041429384829150116,0.060763457269608835,-0.245243233759566,0.7949069345368279
2019-08-28 11:00:00,22,1,2112,2174,2565,3933,0.23005525456447534,0.2777920585588792,0.5746942392867238,1.6148968226452802
2019-08-28 12:00:00,22,1,2800,3252,2759,4127,0.7532525428076527,1.0976813680236643,0.7222526229135388,1.76249957786978
2019-08-28 13:00:00,22,1,2672,3447,2435,3803,0.6559135124368289,1.2452966670961108,0.4762035822873689,1.516498616701113
2019-08-28 14:00:00,22,1,2187,3123,2500,3868,0.28708984267237986,0.9992379756396031,0.5251840529056617,1.5655235300860892
2019-08-28 15:00:00,22,1,2566,3187,3001,4369,0.5753046279109907,1.0482478146720062,0.9064551910162352,1.9468398278097332
2019-08-28 16:00:00,22,1,3032,3689,4005,5373,0.9296795353547708,1.4295134134547056,1.6700226186846128,2.710449455433752
2019-08-28 17:00:00,22,1,4320,4693,3201,4569,1.909153528461184,2.1931607545876783,1.058746239436433,2.0992215776826986
2019-08-28 18:00:00,22,1,3395,3889,2144,3513,1.2057269417970284,1.5818701024395916,0.2550333579452907,1.2955530714694885
2019-08-28 19:00:00,22,1,2396,2832,1522,2891,0.4460262281997404,0.7782093115806503,-0.21785847122278984,0.8227088255794166
2019-08-28 20:00:00,22,1,2037,2210,1125,2493,0.17302066645657085,0.3053225381150876,-0.5200635804971856,0.5205492845168675
2019-08-28 21:00:00,22,1,1496,1813,660,2028,-0.2383888290951137,0.003146432417066173,-0.8741186207573455,0.16654044494407633
2019-08-28 22:00:00,22,1,1256,1348,35,1404,-0.4208995110404081,-0.35091198969476073,-1.3410575325146008,-0.3083285876987566
2019-08-28 23:00:00,22,1,722,723,0,981,-0.8269857783686883,-0.8257696292618862,-1.3410575325146008,-0.6293585665024686
